date,open_interest,funding_rate
2026-08-13 22:00:00+00:00,109960.348,8.545e-05
2026-08-13 23:00:00+00:00,109582.247,8.545e-05
2026-08-14 00:00:00+00:00,109583.468,8.545e-05
2026-08-14 01:00:00+00:00,109718.204,8.545e-05
2026-08-14 02:00:00+00:00,109863.968,8.545e-05
2026-08-14 03:00:00+00:00,109849.951,8.545e-05
2026-08-14 04:00:00+00:00,109817.449,8.545e-05
2026-08-14 05:00:00+00:00,109873.309,5.999e-05
2026-08-14 06:00:00+00:00,109758.04,5.999e-05
2026-08-14 07:00:00+00:00,111393.563,5.999e-05
2026-08-14 08:00:00+00:00,111352.006,5.999e-05
2026-08-14 09:00:00+00:00,112339.727,5.999e-05
2026-08-14 10:00:00+00:00,112925.515,5.999e-05
2026-08-14 11:00:00+00:00,113477.101,5.999e-05
2026-08-14 12:00:00+00:00,113801.422,5.999e-05
2026-08-14 13:00:00+00:00,113810.801,6.29e-06
2026-08-14 14:00:00+00:00,114144.132,6.29e-06
2026-08-14 15:00:00+00:00,114789.853,6.29e-06
2026-08-14 16:00:00+00:00,114078.85,6.29e-06
2026-08-14 17:00:00+00:00,113293.307,6.29e-06
2026-08-14 18:00:00+00:00,112521.083,6.29e-06
2026-08-14 19:00:00+00:00,112278.471,6.29e-06
2026-08-14 20:00:00+00:00,112088.039,6.29e-06
2026-08-14 21:00:00+00:00,112039.354,6.801e-05
2026-08-14 22:00:00+00:00,111937.651,6.801e-05
2026-08-14 23:00:00+00:00,112009.372,6.801e-05
2026-08-15 00:00:00+00:00,111988.29,6.801e-05
2026-08-15 01:00:00+00:00,112036.679,6.801e-05
2026-08-15 02:00:00+00:00,112141.537,6.801e-05
2026-08-15 03:00:00+00:00,112232.53,6.801e-05
2026-08-15 04:00:00+00:00,112009.845,6.801e-05
2026-08-15 05:00:00+00:00,111991.21,6.523e-05
2026-08-15 06:00:00+00:00,111866.284,6.523e-05
2026-08-15 07:00:00+00:00,111882.693,6.523e-05
2026-08-15 08:00:00+00:00,111907.941,6.523e-05
2026-08-15 09:00:00+00:00,111902.603,6.523e-05
2026-08-15 10:00:00+00:00,111866.241,6.523e-05
2026-08-15 11:00:00+00:00,111863.34,6.523e-05
2026-08-15 12:00:00+00:00,111890.695,6.523e-05
2026-08-15 13:00:00+00:00,111845.873,5.311e-05
2026-08-15 14:00:00+00:00,111836.654,5.311e-05
2026-08-15 15:00:00+00:00,111887.538,5.311e-05
2026-08-15 16:00:00+00:00,111819.955,5.311e-05
2026-08-15 17:00:00+00:00,111821.901,5.311e-05
2026-08-15 18:00:00+00:00,111856.664,5.311e-05
2026-08-15 19:00:00+00:00,111688.14,5.311e-05
2026-08-15 20:00:00+00:00,111599.027,5.311e-05
2026-08-15 21:00:00+00:00,111548.114,9.66e-06
2026-08-15 22:00:00+00:00,111399.165,9.66e-06
2026-08-15 23:00:00+00:00,111462.648,9.66e-06
2026-08-16 00:00:00+00:00,111497.403,9.66e-06
2026-08-16 01:00:00+00:00,111464.468,9.66e-06
2026-08-16 02:00:00+00:00,111442.298,9.66e-06
2026-08-16 03:00:00+00:00,111327.837,9.66e-06
2026-08-16 04:00:00+00:00,111271.185,9.66e-06
2026-08-16 05:00:00+00:00,111311.02,1.839e-05
2026-08-16 06:00:00+00:00,111335.042,1.839e-05
2026-08-16 07:00:00+00:00,111270.558,1.839e-05
2026-08-16 08:00:00+00:00,111335.229,1.839e-05
2026-08-16 09:00:00+00:00,111380.235,1.839e-05
2026-08-16 10:00:00+00:00,111363.559,1.839e-05
2026-08-16 11:00:00+00:00,111449.68,1.839e-05
2026-08-16 12:00:00+00:00,111545.12,1.839e-05
2026-08-16 13:00:00+00:00,111594.163,5e-05
2026-08-16 14:00:00+00:00,111638.907,5e-05
2026-08-16 15:00:00+00:00,111607.439,5e-05
2026-08-16 16:00:00+00:00,111687.067,5e-05
2026-08-16 17:00:00+00:00,111355.993,5e-05
2026-08-16 18:00:00+00:00,111377.893,5e-05
2026-08-16 19:00:00+00:00,111306.659,5e-05
2026-08-16 20:00:00+00:00,111408.953,5e-05
2026-08-16 21:00:00+00:00,111241.473,3.818e-05
2026-08-16 22:00:00+00:00,110753.235,3.818e-05
2026-08-16 23:00:00+00:00,110845.935,3.818e-05
2026-08-17 00:00:00+00:00,110943.209,3.818e-05
2026-08-17 01:00:00+00:00,111211.397,3.818e-05
2026-08-17 02:00:00+00:00,111103.634,3.818e-05
2026-08-17 03:00:00+00:00,110625.576,3.818e-05
2026-08-17 04:00:00+00:00,110606.481,3.818e-05
2026-08-17 05:00:00+00:00,110322.671,7.131e-05
2026-08-17 06:00:00+00:00,110208.553,7.131e-05
2026-08-17 07:00:00+00:00,110148.472,7.131e-05
2026-08-17 08:00:00+00:00,110098.652,7.131e-05
2026-08-17 09:00:00+00:00,109975.647,7.131e-05
2026-08-17 10:00:00+00:00,109768.858,7.131e-05
2026-08-17 11:00:00+00:00,109421.331,7.131e-05
2026-08-17 12:00:00+00:00,109026.255,7.131e-05
2026-08-17 13:00:00+00:00,108319.868,9.202e-05
2026-08-17 14:00:00+00:00,107949.637,9.202e-05
2026-08-17 15:00:00+00:00,107688.642,9.202e-05
2026-08-17 16:00:00+00:00,107473.795,9.202e-05
2026-08-17 17:00:00+00:00,107473.632,9.202e-05
2026-08-17 18:00:00+00:00,106601.997,9.202e-05
2026-08-17 19:00:00+00:00,106533.938,9.202e-05
2026-08-17 20:00:00+00:00,106486.203,9.202e-05
2026-08-17 21:00:00+00:00,106467.875,5.164e-05
2026-08-17 22:00:00+00:00,106414.247,5.164e-05
2026-08-17 23:00:00+00:00,106654.095,5.164e-05
