date,open_interest,funding_rate
2026-08-13 22:00:00+00:00,8515466.31,5.622e-05
2026-08-13 23:00:00+00:00,8510696.65,5.622e-05
2026-08-14 00:00:00+00:00,8501344.05,5.622e-05
2026-08-14 01:00:00+00:00,8531185.59,5.622e-05
2026-08-14 02:00:00+00:00,8539176.81,5.622e-05
2026-08-14 03:00:00+00:00,8550146.07,5.622e-05
2026-08-14 04:00:00+00:00,8489312.12,5.622e-05
2026-08-14 05:00:00+00:00,8483956.79,2.264e-05
2026-08-14 06:00:00+00:00,8489640.52,2.264e-05
2026-08-14 07:00:00+00:00,8527137.87,2.264e-05
2026-08-14 08:00:00+00:00,8560021.71,2.264e-05
2026-08-14 09:00:00+00:00,8566362.99,2.264e-05
2026-08-14 10:00:00+00:00,8560404.76,2.264e-05
2026-08-14 11:00:00+00:00,8545373.35,2.264e-05
2026-08-14 12:00:00+00:00,8547236.19,2.264e-05
2026-08-14 13:00:00+00:00,8550348.53,-6.847e-05
2026-08-14 14:00:00+00:00,8578507.28,-6.847e-05
2026-08-14 15:00:00+00:00,8565237.85,-6.847e-05
2026-08-14 16:00:00+00:00,8554686.39,-6.847e-05
2026-08-14 17:00:00+00:00,8579031.81,-6.847e-05
2026-08-14 18:00:00+00:00,8608510.38,-6.847e-05
2026-08-14 19:00:00+00:00,8668657.28,-6.847e-05
2026-08-14 20:00:00+00:00,8742318.94,-6.847e-05
2026-08-14 21:00:00+00:00,8725430.83,-0.00010912
2026-08-14 22:00:00+00:00,8700630.09,-0.00010912
2026-08-14 23:00:00+00:00,8687400.45,-0.00010912
2026-08-15 00:00:00+00:00,8659819.71,-0.00010912
2026-08-15 01:00:00+00:00,8647296.73,-0.00010912
2026-08-15 02:00:00+00:00,8652138.05,-0.00010912
2026-08-15 03:00:00+00:00,8656412.56,-0.00010912
2026-08-15 04:00:00+00:00,8626944.3,-0.00010912
2026-08-15 05:00:00+00:00,8630802.87,6.794e-05
2026-08-15 06:00:00+00:00,8625417.68,6.794e-05
2026-08-15 07:00:00+00:00,8637522.22,6.794e-05
2026-08-15 08:00:00+00:00,8621284.8,6.794e-05
2026-08-15 09:00:00+00:00,8632021.27,6.794e-05
2026-08-15 10:00:00+00:00,8630888.38,6.794e-05
2026-08-15 11:00:00+00:00,8632402.94,6.794e-05
2026-08-15 12:00:00+00:00,8629274.55,6.794e-05
2026-08-15 13:00:00+00:00,8632851.22,-9.423e-05
2026-08-15 14:00:00+00:00,8637868.64,-9.423e-05
2026-08-15 15:00:00+00:00,8632483.67,-9.423e-05
2026-08-15 16:00:00+00:00,8644049.8,-9.423e-05
2026-08-15 17:00:00+00:00,8653285.88,-9.423e-05
2026-08-15 18:00:00+00:00,8650268.6,-9.423e-05
2026-08-15 19:00:00+00:00,8635724.07,-9.423e-05
2026-08-15 20:00:00+00:00,8643841.31,-9.423e-05
2026-08-15 21:00:00+00:00,8638591.83,-4.786e-05
2026-08-15 22:00:00+00:00,8614007.18,-4.786e-05
2026-08-15 23:00:00+00:00,8622446.81,-4.786e-05
2026-08-16 00:00:00+00:00,8621942.2,-4.786e-05
2026-08-16 01:00:00+00:00,8630424.89,-4.786e-05
2026-08-16 02:00:00+00:00,8643220.55,-4.786e-05
2026-08-16 03:00:00+00:00,8633233.16,-4.786e-05
2026-08-16 04:00:00+00:00,8612515.65,-4.786e-05
2026-08-16 05:00:00+00:00,8610734.03,-2.592e-05
2026-08-16 06:00:00+00:00,8604025.66,-2.592e-05
2026-08-16 07:00:00+00:00,8648844.92,-2.592e-05
